fid,latitude,longitude,LONGTITUDE
"377",40.69411,-73.93987,
"378",40.70322,-73.92913,
"379",40.6825,-73.90818,
"380",40.6872,-73.93805,
"381",40.68826,-73.9385,
"382",40.6825,-73.92519,
"383",40.70716,-73.92171,
"384",40.7012,-73.90008,
"385",40.68419,-73.92217,
"386",40.70784,-73.92224,
"387",40.70248,-73.93225,
"388",40.70315,-73.93124,
"389",40.70098,-73.93959,
"390",40.68655,-73.93797,
"391",40.68769,-73.93074,
"392",40.68565,-73.93249,
"393",40.68056,-73.9151,
"394",40.68082,-73.93599,
"395",40.6998,-73.93265,
"396",40.68695,-73.92947,
"397",40.69349,-73.90726,
"398",40.70818,-73.92256,
"399",40.69439,-73.90715,
"400",40.70617,-73.93674,
"401",40.6845,-73.91193,
"402",40.68819,-73.91594,
"403",40.68295,-73.91472,
"404",40.68043,-73.93705,
"405",40.68692,-73.93113,
"406",40.6876,-73.9167,
"407",40.68313,-73.9413,
"408",40.6835,-73.92754,
"409",40.68852,-73.92393,
"410",40.70102,-73.92864,
"411",40.69361,-73.93848,
"412",40.70046,-73.90692,
"413",40.68439,-73.92811,
"414",40.69013,-73.92805,
"415",40.68634,-73.92516,
"416",40.70794,-73.92168,
"417",40.7041,-73.92476,
"418",40.69216,-73.90859,
"419",40.68663,-73.9379,
"420",40.70569,-73.92268,
"421",40.68706,-73.93077,
"422",40.68707,-73.93247,
"423",40.68627,-73.93131,
"424",40.69485,-73.93387,
"425",40.69562,-73.93792,
"426",40.70495,-73.9209,
"427",40.70293,-73.90771,
"428",40.68514,-73.93207,
"429",40.70599,-73.89755,
"430",40.69518,-73.9038,
"431",40.6805,-73.93775,
"432",40.70732,-73.91926,
"433",40.69917,-73.93146,
"434",40.69358,-73.91914,
"435",40.7078,-73.90177,
"436",40.68312,-73.92507,
"437",40.68454,-73.93178,
"438",40.69389,-73.93058,
"439",40.69525,-73.93768,
"440",40.69233,-73.90579,
"441",40.70729,-73.91697,
"442",40.68266,-73.91971,
"443",40.70071,-73.92913,
"444",40.7068,-73.93772,
"445",40.69108,-73.91443,
"446",40.69496,-73.93949,
"447",40.69271,-73.92535,
"448",40.69863,-73.91235,
"449",40.6869,-73.92254,
"450",40.70439,-73.91111,
"451",40.69341,-73.92266,
"452",40.70463,-73.90132,
"453",40.70741,-73.92239,
"454",40.70407,-73.93562,
"455",40.6845,-73.93968,
"456",40.6989,-73.92904,
"457",40.69584,-73.90794,
"458",40.68288,-73.93678,
"459",40.70253,-73.92898,
"460",40.68578,-73.93965,
"461",40.69435,-73.91852,
"462",40.69017,-73.93951,
"463",40.70903,-73.9394,
"464",40.70216,-73.90716,
"465",40.69703,-73.93207,
"466",40.69787,-73.93202,
"467",40.69367,-73.93981,
"468",40.69175,-73.92834,
"469",40.7026,-73.92787,
"470",40.69796,-73.93124,
"471",40.70112,-73.91201,
"472",40.69945,-73.90651,
"473",40.69815,-73.93616,
"474",40.68622,-73.92508,
"475",40.68488,-73.91225,
"476",40.69213,-73.92371,
"477",40.69414,-73.93467,
"478",40.69454,-73.93427,
"479",40.68157,-73.92023,
"480",40.70826,-73.94059,
"481",40.68373,-73.92925,
"482",40.68596,-73.94068,
"483",40.68402,-73.94164,
"484",40.70545,-73.91929,
"485",40.69295,-73.93537,
"486",40.68589,-73.93286,
"487",40.69087,-73.90917,
"488",40.69084,-73.93079,
"489",40.68348,-73.90817,
"490",40.68229,-73.91574,
"491",40.69935,-73.9228,
"492",40.69167,-73.92169,
"493",40.70131,-73.91745,
"494",40.70027,-73.9231,
"495",40.70659,-73.94049,
"496",40.68467,-73.92863,
"497",40.69702,-73.93365,
"498",40.69738,-73.91162,
"499",40.69439,-73.9068,
"500",40.68369,-73.92336,
"501",40.69258,-73.92528,
"502",40.6984,-73.91476,
"503",40.70046,-73.92825,
"504",40.68778,-73.92484,
"505",40.69685,-73.92933,
"506",40.69913,-73.91484,
"507",40.70016,-73.91572,
"508",40.69437,-73.92607,
"509",40.69504,-73.92709,
"510",40.70936,-73.94109,
"511",40.7001,-73.93009,
"512",40.69169,-73.92351,
"513",40.68811,-73.92398,
"514",40.70468,-73.92863,
"515",40.69711,-73.93373,
"516",40.68876,-73.90824,
"517",40.70295,-73.91354,
"518",40.68675,-73.93749,
"519",40.70092,-73.92945,
"520",40.68515,-73.91981,
"521",40.70037,-73.92821,
"522",40.68843,-73.91577,
"523",40.69091,-73.91402,
"524",40.70516,-73.91946,
"525",40.70141,-73.91782,
"526",40.6804,-73.93183,
"527",40.70583,-73.91658,
"528",40.69986,-73.9298,
"529",40.6815,-73.91267,
"530",40.70253,-73.91889,
"531",40.68175,-73.9153,
"532",40.69958,-73.90825,
"533",40.70083,-73.91679,
"534",40.68679,-73.92327,
"535",40.68744,-73.92322,
"536",40.68939,-73.92331,
"537",40.68168,-73.9368,
"538",40.69147,-73.94113,
"539",40.68306,-73.93141,
"540",40.70516,-73.91609,
"541",40.68045,-73.93796,
"542",40.68301,-73.93738,
"543",40.70213,-73.91472,
"544",40.70739,-73.91498,
"545",40.68594,-73.90653,
"546",40.70898,-73.93286,
"547",40.68386,-73.90936,
"548",40.70171,-73.91344,
"549",40.69709,-73.91003,
"550",40.70126,-73.93731,
"551",40.70206,-73.91342,
"552",40.68716,-73.91882,
"553",40.68074,-73.92513,
"554",40.69237,-73.92097,
"555",40.70041,-73.93816,
"556",40.69092,-73.90443,
"557",40.68006,-73.91113,
"558",40.68755,-73.91856,
"559",40.68383,-73.92226,
"560",40.70827,-73.92264,
"561",40.69888,-73.92081,
"562",40.69544,-73.93046,
"563",40.70629,-73.92884,
"564",40.69804,-73.90683,
"565",40.68211,-73.92121,
"566",40.70429,-73.93793,
"567",40.68076,-73.91673,
"568",40.70745,-73.92255,
"569",40.694,-73.93472,
"570",40.6983,-73.92607,
"571",40.68767,-73.94147,
"572",40.70018,-73.92586,
"573",40.69829,-73.90771,
"574",40.70696,-73.91155,
"575",40.70882,-73.93705,
"576",40.69987,-73.93216,
"577",40.68406,-73.91612,
"578",40.68369,-73.91349,
"579",40.68054,-73.91374,
"580",40.68481,-73.93187,
"581",40.69024,-73.9059,
"582",40.69195,-73.93487,
"583",40.69129,-73.93338,
"584",40.70565,-73.93518,
"585",40.70612,-73.9079,
"586",40.69525,-73.91385,
"587",40.69158,-73.93823,
"588",40.70463,-73.91272,
"589",40.69099,-73.91665,
"590",40.70336,-73.92416,
"591",40.70124,-73.92218,
"592",40.69363,-73.91329,
"593",40.68175,-73.93886,
"594",40.68153,-73.93825,
"595",40.70406,-73.91811,
"596",40.7001,-73.93602,
"597",40.68294,-73.92672,
"598",40.69561,-73.93603,
"599",40.68309,-73.92909,
"600",40.7073,-73.91775,
"601",40.68024,-73.93987,
"602",40.70066,-73.90964,
"603",40.68421,-73.92608,
"604",40.70314,-73.93656,
"605",40.70506,-73.93201,
"606",40.6801,-73.90976,
"607",40.69226,-73.92286,
"608",40.68411,-73.92079,
"609",40.6878,-73.91452,
"610",40.70754,-73.92138,
"611",40.70212,-73.93032,
"612",40.70033,-73.93964,
"613",40.69611,-73.92258,
"614",40.68777,-73.94171,
"615",40.70152,-73.90568,
"616",40.68828,-73.92056,
"617",40.69476,-73.92359,
"618",40.68917,-73.91549,
"619",40.70573,-73.89873,
"620",40.68638,-73.91368,
"621",40.6863,-73.91378,
"622",40.68691,-73.91317,
"623",40.6864,-73.9133,
