fid,LATITUDE,LONGITUDE
"57","40.6944331130424","-73.9345432981755"
"58","40.6859442816004","-73.9175544880574"
"59","40.6876578611281","-73.9358479464789"
"60","40.6878361173163","-73.9356502764674"
"61","40.6878665610956","-73.9354125796571"
"62","40.6878969609879","-73.9350978928785"
"63","40.6879248560742","-73.9348601980878"
"64","40.6879578466743","-73.9346224992849"
"65","40.687982605038","-73.9343750627609"
"66","40.6880139052721","-73.9340697422807"
"67","40.6880464546666","-73.9338286988502"
"68","40.6880793649268","-73.9335350820552"
"69","40.687959470242","-73.9333042295971"
"70","40.6877071823059","-73.9332576186218"
"71","40.6875365582918","-73.9334285063718"
"72","40.6884357524171","-73.9321451621726"
"73","40.68840786294","-73.9323828587371"
"74","40.688369827976","-73.9327009047988"
"75","40.6885203202935","-73.9329652025492"
"76","40.6886961558216","-73.9329951524753"
"77","40.6889100848222","-73.9328041316965"
"78","40.6889349314141","-73.9326032959752"
"79","40.6889653216502","-73.9322852549255"
"80","40.6885945245581","-73.9307646483191"
"81","40.6885704662336","-73.9310132222487"
"82","40.6885381226554","-73.9312542734737"
"83","40.6885096003491","-73.9314953193554"
"84","40.6881980851036","-73.9305882405178"
"85","40.6980303764785","-73.9407716683444"
"86","40.6983512225014","-73.9403595854402"
"87","40.6981588060865","-73.939864036436"
"88","40.6985051376884","-73.9394653177553"
"89","40.6985406175089","-73.9389446471072"
"90","40.6983135579233","-73.9384192277015"
"91","40.6976188934624","-73.9389922940531"
"92","40.6972010963689","-73.9382011054167"
"93","40.6968471299986","-73.9386098737559"
"94","40.6968460088883","-73.9391423446152"
"95","40.6970501266514","-73.9396543846174"
"96","40.6966888986799","-73.9400249194443"
"97","40.6969439855138","-73.940560350386"
"98","40.6968795381968","-73.941088643394"
"99","40.6965332026024","-73.9414906934322"
"100","40.6973682811883","-73.9417568057178"
"101","40.6979821075983","-73.941294456085"
"102","40.6982167977232","-73.9418165287688"
"103","40.7093797239241","-73.941336485969"
"104","40.7093237615851","-73.9415257261401"
"105","40.7091905893","-73.9414580352763"
"106","40.7092993783854","-73.9411791775049"
"107","40.70918468116","-73.9411139821693"
"108","40.7092244487497","-73.9406565265721"
"109","40.709370920434","-73.9405743569354"
"110","40.7093058566596","-73.9404053167157"
"111","40.6947610933363","-73.942336291647"
"112","40.6947810563839","-73.9421577929614"
"113","40.6940485059109","-73.9430236650832"
"114","40.6939689020046","-73.9427362657688"
"115","40.67918719847","-73.9231672536462"
"116","40.6900359632867","-73.9599455323717"
"117","40.6902969095432","-73.9589918770473"
"118","40.6902783828815","-73.9579526466225"
"119","40.6893943174579","-73.959846342288"
"120","40.6894545709292","-73.9589608992953"
"121","40.6894931515548","-73.9586312335698"
"122","40.689582560118","-73.9579756316342"
"123","40.6994476168575","-73.9503259777864"
"124","40.6994247910784","-73.950573746461"
"125","40.6990065348809","-73.9505848307576"
"126","40.699043224662","-73.9503154776612"
"127","40.6988427629712","-73.9502873545748"
"128","40.6984209650595","-73.9502047003329"
"129","40.6982456958859","-73.9501657719096"
"130","40.6982152346534","-73.9504336299719"
"131","40.6977902920457","-73.9502525481825"
"132","40.6978145350056","-73.9500099927593"
"133","40.6987366544895","-73.9508171676508"
"134","40.6984053785762","-73.9507604971121"
"135","40.6990831884229","-73.9512673198372"
"136","40.6992816683127","-73.9512965619978"
"137","40.6993138491682","-73.9510718514459"
"138","40.698001896114","-73.9511286817383"
"139","40.6977804528626","-73.9510269192302"
"140","40.6978092195533","-73.9507668769633"
"141","40.6986621816186","-73.951758560482"
