fid,ID,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude,birth year,gender
"53","113",2020/7/6 0:09,2020/7/6 0:18,"3357",W 106 St & Amsterdam Ave,40.8008363,-73.96644925,E 110 St & Madison Ave,40.7961535,-73.94782145,"1989","1"
"54","118",2020/7/6 0:10,2020/7/6 0:44,"3255",8 Ave & W 31 St,40.75058535,-73.99468482,S 5 Pl & S 5 St,40.710451,-73.960876,"1986","1"
"55","123",2020/7/6 0:10,2020/7/6 0:29,"3064",Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,Berry St & N 8 St,40.7190095,-73.95852515,"1992","2"
"56","125",2020/7/6 0:10,2020/7/6 0:28,"519",Pershing Square North,40.751873,-73.977706,6 Ave & Broome St,40.72430832,-74.00473036,"1987","1"
"57","128",2020/7/6 0:10,2020/7/6 0:17,"3668",Leonard St & Nassau Ave,40.72395678,-73.94984365,Sharon St & Olive St,40.715353,-73.93856,"1986","1"
"58","129",2020/7/6 0:10,2020/7/6 0:33,"3082",Hope St & Union Ave,40.71167351,-73.95141312,Bedford Ave & Bergen St,40.676368,-73.952918,"1992","2"
"59","132",2020/7/6 0:11,2020/7/6 0:19,"3255",8 Ave & W 31 St,40.75058535,-73.99468482,11 Ave & W 59 St,40.77149671,-73.99046034,"1992","1"
"60","133",2020/7/6 0:11,2020/7/6 0:23,"369",Washington Pl & 6 Ave,40.73224119,-74.00026394,Delancey St & Eldridge St,40.719383,-73.991479,"1993","2"
"61","134",2020/7/6 0:11,2020/7/6 0:24,"3714",Division Ave & Hooper St,40.70684203,-73.9544354,Banker St & Meserole Ave,40.72606,-73.95621,"1981","1"
"62","137",2020/7/6 0:11,2020/7/6 0:34,"3129",Queens Plaza North & Crescent St,40.75110165,-73.94073717,E 68 St & 3 Ave,40.7671284,-73.96224618,"1969","0"
"63","139",2020/7/6 0:11,2020/7/6 0:26,"3360",Amsterdam Ave & W 79 St,40.7829391,-73.9786517,Lenox Ave & W 111 St,40.7987859,-73.9523,"1990","1"
"64","140",2020/7/6 0:11,2020/7/6 0:53,"482",W 15 St & 7 Ave,40.73935542,-73.99931783,11 Ave & W 59 St,40.77149671,-73.99046034,"1969","0"
"65","141",2020/7/6 0:12,2020/7/6 0:54,"482",W 15 St & 7 Ave,40.73935542,-73.99931783,11 Ave & W 59 St,40.77149671,-73.99046034,"1969","0"
"66","142",2020/7/6 0:12,2020/7/6 0:22,"224",Spruce St & Nassau St,40.71146364,-74.00552427,Forsyth St & Canal St,40.7158155,-73.99422366,"1995","2"
"67","144",2020/7/6 0:12,2020/7/6 0:25,"391",Clark St & Henry St,40.69760127,-73.99344559,3 St & 3 Ave,40.6750705,-73.98775226,"1969","0"
"69","151",2020/7/6 0:12,2020/7/6 0:45,"3526",31 St & 23 Ave,40.7747878,-73.9125551,31 Ave & Steinway St,40.7611488,-73.9170071,"1969","0"
"70","154",2020/7/6 0:13,2020/7/6 0:26,"336",Sullivan St & Washington Sq,40.73047747,-73.99906065,1 Ave & E 16 St,40.73221853,-73.98165557,"1980","2"
"71","157",2020/7/6 0:13,2020/7/6 0:31,"336",Sullivan St & Washington Sq,40.73047747,-73.99906065,E 6 St & Avenue B,40.72453734,-73.98185424,"1969","0"
"72","159",2020/7/6 0:13,2020/7/6 0:30,"477",W 41 St & 8 Ave,40.75640548,-73.9900262,E 15 St & 3 Ave,40.734232,-73.986923,"1965","1"
"73","161",2020/7/6 0:14,2020/7/6 0:16,"446",W 24 St & 7 Ave,40.74487634,-73.99529885,W 20 St & 8 Ave,40.74345335,-74.00004031,"1989","1"
"74","163",2020/7/6 0:14,2020/7/6 0:19,"293",Lafayette St & E 8 St,40.73020661,-73.99102628,W 13 St & 7 Ave,40.73781509,-73.99994661,"2000","1"
"75","164",2020/7/6 0:14,2020/7/6 0:17,"260",Broad St & Bridge St,40.70365182,-74.01167797,Front St & Maiden Ln,40.70530954,-74.00612572,"1981","1"
"76","168",2020/7/6 0:14,2020/7/6 0:29,"494",W 26 St & 8 Ave,40.74734825,-73.99723551,W 26 St & 10 Ave,40.74971775,-74.00295035,"2001","1"
"77","170",2020/7/6 0:14,2020/7/6 0:32,"3690",Park Pl & Church St,40.71334184,-74.00935516,Jay St & Tech Pl,40.695065,-73.987167,"1988","1"
"78","171",2020/7/6 0:14,2020/7/6 0:37,"3423",West Drive & Prospect Park West,40.66106337,-73.97945255,Sterling St & Bedford Ave,40.6627059,-73.9569115,"1992","1"
"79","173",2020/7/6 0:14,2020/7/6 1:09,"369",Washington Pl & 6 Ave,40.73224119,-74.00026394,Halsey St & Evergreen Ave,40.68858,-73.91227,"1988","1"
"80","175",2020/7/6 0:15,2020/7/6 0:18,"3745",36 Ave & 31 St,40.75651273,-73.92957486,35 Ave & 37 St,40.7557327,-73.9236611,"1973","2"
"81","176",2020/7/6 0:15,2020/7/6 0:49,"251",Mott St & Prince St,40.72317958,-73.99480012,Milton St & Franklin St,40.72906,-73.95779,"1994","1"
"83","189",2020/7/6 0:16,2020/7/6 0:19,"3593",31 St & Broadway,40.761584,-73.925921,31 Ave & Crescent St,40.7658346,-73.9265474,"1990","1"
"84","196",2020/7/6 0:16,2020/7/6 1:19,"281",Grand Army Plaza & Central Park S,40.7643971,-73.97371465,Lewis Ave & Decatur St,40.6814598,-73.934903,"1969","0"
"85","197",2020/7/6 0:16,2020/7/6 0:49,"3429",Hanson Pl & Ashland Pl,40.68506807,-73.9779076,Huron St & Franklin St,40.73266,-73.95826,"1981","1"
"86","199",2020/7/6 0:16,2020/7/6 0:42,"3260",Mercer St & Bleecker St,40.72706363,-73.99662137,E 55 St & 2 Ave,40.75797322,-73.96603308,"1969","0"
"87","202",2020/7/6 0:17,2020/7/6 1:04,"3260",Mercer St & Bleecker St,40.72706363,-73.99662137,W 100 St & Broadway,40.7973721,-73.97041192,"1962","1"
"89","208",2020/7/6 0:17,2020/7/6 0:26,"3041",Kingston Ave & Herkimer St,40.67890679,-73.94142771,Monroe St & Tompkins Ave,40.686203,-73.944694,"1997","1"
"90","214",2020/7/6 0:18,2020/7/6 0:48,"3583",Eastern Pkwy & Washington Ave,40.6716493,-73.9631145,Franklin Ave & Empire Blvd,40.66314,-73.9605695,"1993","2"
"91","216",2020/7/6 0:18,2020/7/6 0:22,"3584",Eastern Pkwy & Franklin Ave,40.6707767,-73.9576801,Bedford Ave & Bergen St,40.676368,-73.952918,"1987","1"
"92","217",2020/7/6 0:18,2020/7/6 0:36,"3827",Halsey St & Broadway,40.68565,-73.91564,Fulton St & Utica Ave,40.6794268,-73.9298911,"1969","0"
"93","219",2020/7/6 0:18,2020/7/6 0:39,"3263",Cooper Square & Astor Pl,40.72951496,-73.9907527,Grand St & Elizabeth St,40.718822,-73.99596,"1996","0"
"94","225",2020/7/6 0:19,2020/7/6 0:41,"312",Allen St & Stanton St,40.722055,-73.989111,Pearl St & Peck Slip,40.708485,-74.002751,"1969","0"
"95","227",2020/7/6 0:19,2020/7/6 0:41,"312",Allen St & Stanton St,40.722055,-73.989111,Pearl St & Peck Slip,40.708485,-74.002751,"1969","0"
"96","230",2020/7/6 0:19,2020/7/6 0:26,"3870",Melrose St & Broadway,40.697481,-73.935877,Cedar St & Myrtle Ave,40.697842,-73.926241,"1995","1"
"97","236",2020/7/6 0:20,2020/7/6 0:48,"3065",Union Ave & Wallabout St,40.70029511,-73.95032283,Broadway & Whipple St,40.7016657,-73.9437303,"1969","0"
"98","248",2020/7/6 0:21,2020/7/6 0:30,"3175",W 70 St & Amsterdam Ave,40.77748046,-73.98288594,8 Ave & W 52 St,40.76370739,-73.9851615,"1973","1"
"99","249",2020/7/6 0:21,2020/7/6 0:36,"482",W 15 St & 7 Ave,40.73935542,-73.99931783,E 39 St & 3 Ave,40.7489006,-73.97604882,"2001","1"
"100","250",2020/7/6 0:21,2020/7/6 0:50,"335",Washington Pl & Broadway,40.72903917,-73.99404649,Columbus Ave & W 72 St,40.7770575,-73.97898475,"1997","1"
"101","253",2020/7/6 0:22,2020/7/6 0:48,"3065",Union Ave & Wallabout St,40.70029511,-73.95032283,Broadway & Whipple St,40.7016657,-73.9437303,"1969","0"
"102","254",2020/7/6 0:22,2020/7/6 0:50,"284",Greenwich Ave & 8 Ave,40.73901691,-74.00263761,W 34 St & 11 Ave,40.75594159,-74.0021163,"1969","0"
"103","258",2020/7/6 0:22,2020/7/6 0:29,"3780",Wyckoff Av & Stanhope St,40.703545,-73.917775,Bushwick Ave & Harman St,40.69356,-73.92524,"1969","0"
"104","259",2020/7/6 0:22,2020/7/6 0:33,"3285",W 87 St & Amsterdam Ave,40.78839,-73.9747,Madison Ave & E 82 St,40.7781314,-73.96069399,"2001","1"
"105","260",2020/7/6 0:22,2020/7/6 0:28,"377",6 Ave & Canal St,40.72243797,-74.00566443,Norfolk St & Broome St,40.7172274,-73.98802084,"1979","1"
"106","264",2020/7/6 0:22,2020/7/6 0:40,"364",Lafayette Ave & Classon Ave,40.68900443,-73.96023854,Powers St & Olive St,40.71323,-73.93894,"1969","0"
"107","265",2020/7/6 0:23,2020/7/6 0:35,"522",E 51 St & Lexington Ave,40.75714758,-73.97207836,E 81 St & York Ave,40.7728384,-73.94989233,"1969","0"
